timestamp,author,lines_of_code
2026-04-08T17:49:27Z,marbor26,1
2026-04-08T17:51:05Z,marbor26,1
2026-04-09T11:53:23Z,marbor26,1
2026-04-10T01:18:59Z,Krzysiek-P,324
2026-04-11T01:14:05Z,Krzysiek-P,222
2026-04-12T01:23:32Z,Krzysiek-P,222
2026-04-13T01:25:05Z,Krzysiek-P,222
2026-04-14T01:23:26Z,Krzysiek-P,222
2026-04-15T01:20:24Z,Krzysiek-P,222
2026-04-16T01:25:36Z,Krzysiek-P,222
2026-04-17T01:23:08Z,Krzysiek-P,222
2026-04-17T13:06:05Z,Krzysiek-P,222
2026-04-18T01:17:21Z,Krzysiek-P,222
2026-04-19T01:26:19Z,Krzysiek-P,222
2026-04-20T01:26:28Z,Krzysiek-P,222
2026-04-21T01:23:16Z,Krzysiek-P,222
2026-04-22T01:21:55Z,Krzysiek-P,222
2026-04-23T01:26:57Z,Krzysiek-P,737
2026-04-23T10:47:05Z,Krystian Sadowski,1059
2026-04-23T10:47:05Z,Yaroslav Starzhynskyi,530
2026-04-24T01:25:54Z,Krystian Sadowski,858
2026-04-25T01:19:13Z,Krystian Sadowski,1
2026-04-26T01:28:43Z,Krystian Sadowski,1
2026-04-27T01:29:41Z,Krystian Sadowski,1
2026-04-28T01:49:47Z,Krystian Sadowski,1
2026-04-29T01:52:38Z,Krystian Sadowski,1
2026-04-30T01:51:32Z,Krystian Sadowski,1
2026-05-01T01:54:08Z,Krystian Sadowski,1
2026-05-02T01:30:54Z,Krystian Sadowski,1
2026-05-03T01:46:45Z,Krystian Sadowski,1
2026-05-04T01:47:04Z,Krystian Sadowski,1
2026-05-05T01:47:48Z,Krystian Sadowski,1
2026-05-06T01:46:41Z,Krystian Sadowski,1
2026-05-07T01:51:01Z,Krystian Sadowski,1
2026-05-08T01:54:52Z,Krystian Sadowski,1
2026-05-08T11:04:30Z,Krystian Sadowski,2
2026-05-08T11:04:30Z,Sadowski-Krystian,1132
2026-05-08T11:04:30Z,Yaroslav Starzhynskyi,96
2026-05-08T11:04:30Z,Krzysiek-P,1178
2026-05-09T01:50:21Z,Krystian Sadowski,245
2026-05-10T01:50:02Z,Krystian Sadowski,245
2026-05-11T01:57:53Z,Krystian Sadowski,245
2026-05-12T01:55:03Z,Krystian Sadowski,245
2026-05-12T17:13:00Z,marbor26,3
2026-05-13T01:59:17Z,marbor26,3
2026-05-14T02:01:44Z,marbor26,3
2026-05-15T02:00:23Z,YaroslavStarzhynsky,29
2026-05-16T01:52:58Z,YaroslavStarzhynsky,29
2026-05-17T01:55:42Z,YaroslavStarzhynsky,29
2026-05-18T02:06:52Z,YaroslavStarzhynsky,29
2026-05-19T02:07:04Z,YaroslavStarzhynsky,29
2026-05-20T02:05:04Z,YaroslavStarzhynsky,29
2026-05-21T02:04:45Z,YaroslavStarzhynsky,29
2026-05-22T02:06:56Z,Sadowski-Krystian,1
2026-05-22T02:06:56Z,Krystian Sadowski,2
2026-05-23T01:55:37Z,Krzysiek-P,21
2026-05-24T02:03:26Z,Krzysiek-P,21
2026-05-25T02:11:28Z,Krzysiek-P,21
2026-05-26T02:01:51Z,Krzysiek-P,21
2026-05-27T02:11:04Z,Krzysiek-P,21
2026-05-28T01:53:28Z,Krzysiek-P,21
2026-05-29T02:02:24Z,Krzysiek-P,21
2026-05-30T01:56:38Z,Krzysiek-P,21
2026-05-31T02:11:35Z,Krzysiek-P,21
2026-06-01T02:33:25Z,Krzysiek-P,21
2026-06-02T02:32:18Z,Krzysiek-P,21
2026-06-03T02:38:45Z,Krzysiek-P,21
2026-06-04T02:34:52Z,Krzysiek-P,21
2026-06-05T02:09:08Z,Krzysiek-P,21
2026-06-06T02:00:46Z,Krzysiek-P,21
2026-06-07T02:28:07Z,Krzysiek-P,21
2026-06-08T02:33:08Z,Krzysiek-P,21
2026-06-09T01:57:04Z,Krzysiek-P,21
2026-06-10T02:09:21Z,Krzysiek-P,21
2026-06-11T02:32:45Z,Krzysiek-P,21
2026-06-12T02:16:07Z,Krzysiek-P,21
2026-06-13T02:08:36Z,Krzysiek-P,21
2026-06-14T02:31:52Z,Krzysiek-P,21
2026-06-15T02:36:13Z,Krzysiek-P,21
2026-06-16T02:37:53Z,Krzysiek-P,21
2026-06-17T02:35:41Z,Krzysiek-P,21
2026-06-18T02:33:20Z,Krzysiek-P,21
2026-06-19T02:49:43Z,Krzysiek-P,21
2026-06-20T02:10:12Z,Krzysiek-P,21
2026-06-21T02:33:58Z,Krzysiek-P,21
2026-06-22T02:37:58Z,Krzysiek-P,21
2026-06-23T02:04:01Z,Krzysiek-P,21
2026-06-24T02:06:23Z,Krzysiek-P,21
2026-06-25T02:06:34Z,Krzysiek-P,21
2026-06-26T02:07:47Z,Krzysiek-P,21
2026-06-27T02:02:41Z,Krzysiek-P,21
2026-06-28T02:13:32Z,Krzysiek-P,21
2026-06-29T02:13:06Z,Krzysiek-P,21
2026-06-30T02:08:17Z,Krzysiek-P,21
2026-07-01T02:13:01Z,Krzysiek-P,21
2026-07-02T02:05:05Z,Krzysiek-P,21
2026-07-03T01:49:26Z,Krzysiek-P,21
2026-07-04T01:48:38Z,Krzysiek-P,21
2026-07-05T01:54:36Z,Krzysiek-P,21
2026-07-06T02:01:11Z,Krzysiek-P,21
2026-07-07T01:56:31Z,Krzysiek-P,21
2026-07-08T01:26:42Z,Krzysiek-P,21
2026-07-09T01:48:53Z,Krzysiek-P,21
2026-07-10T01:46:56Z,Krzysiek-P,21
2026-07-11T01:26:16Z,Krzysiek-P,21
2026-07-12T01:28:00Z,Krzysiek-P,21
2026-07-13T01:29:04Z,Krzysiek-P,21
2026-07-14T01:18:29Z,Krzysiek-P,21
2026-07-15T01:15:32Z,Krzysiek-P,21
2026-07-16T01:24:58Z,Krzysiek-P,21
2026-07-17T01:28:07Z,Krzysiek-P,21
2026-07-18T01:19:34Z,Krzysiek-P,21
2026-07-19T01:26:33Z,Krzysiek-P,21
2026-07-20T01:51:46Z,Krzysiek-P,21
2026-07-21T01:25:30Z,Krzysiek-P,21
2026-07-22T01:24:10Z,Krzysiek-P,21
2026-07-23T01:43:43Z,Krzysiek-P,21
2026-07-24T01:28:20Z,Krzysiek-P,21
2026-07-25T01:28:01Z,Krzysiek-P,21
2026-07-26T01:42:08Z,Krzysiek-P,21
2026-07-27T01:49:34Z,Krzysiek-P,21
2026-07-28T01:24:07Z,Krzysiek-P,21
2026-07-29T01:24:31Z,Krzysiek-P,21
